 200.000000000000000  # amax
 2000    # na
 200.000000000000000    # bmax
 2000      # nb
 20.0000000000000000    # Dmax
 100     # nD 
 400  # ndelta
 -0.554866532629454229E-06 17.5757575758787894 0.501253231829573969E-02
 -0.518127608932615197E-06 17.7777777778888897 0.501253231829573969E-02
 -0.484197408387171324E-06 17.9797979798989900 0.501253231829573969E-02
 -0.452833150288987211E-06 18.1818181819090903 0.501253231829573969E-02
 -0.423815410411885989E-06 18.3838383839191906 0.501253231829573969E-02
 -0.396945650808547596E-06 18.5858585859292944 0.501253231829573969E-02
 -0.372044033976623013E-06 18.7878787879393947 0.501253231829573969E-02
 -0.348947486046921546E-06 18.9898989899494950 0.501253231829573969E-02
 -0.327507978360960784E-06 19.1919191919595953 0.501253231829573969E-02
 -0.307591000846547536E-06 19.3939393939696956 0.501253231829573969E-02
 -0.289074204072778484E-06 19.5959595959797994 0.501253231829573969E-02
 -0.271846189854857873E-06 19.7979797979898997 0.501253231829573969E-02
 -0.255805432856011350E-06 20.0000000000000000 0.501253231829573969E-02
 2693.16731997697798 0.100000000000000006E-08 0.751879797744360936E-02
 0.853333332674928502 0.202020203010101013 0.751879797744360936E-02
 0.481792025274824509 0.404040405020202054 0.751879797744360936E-02
 0.295289311258297049 0.606060607030303067 0.751879797744360936E-02
 0.184583961937410640 0.808080809040404024 0.751879797744360936E-02
 0.114647712783191968 1.01010101105050509 0.751879797744360936E-02
 0.694049000111386788E-01 1.21212121306060605 0.751879797744360936E-02
 0.400216912425993138E-01 1.41414141507070701 0.751879797744360936E-02
 0.211160006925467693E-01 1.61616161708080819 0.751879797744360936E-02
 0.920503819447467987E-02 1.81818181909090915 0.751879797744360936E-02
 0.195788781391422308E-02 2.02020202110101010 0.751879797744360936E-02
 -0.221110946560356932E-02 2.22222222311111128 0.751879797744360936E-02
 -0.438548264838693400E-02 2.42424242512121202 0.751879797744360936E-02
 -0.530263794317408291E-02 2.62626262713131320 0.751879797744360936E-02
 -0.545901092924249397E-02 2.82828282914141438 0.751879797744360936E-02
 -0.518316638013008486E-02 3.03030303115151511 0.751879797744360936E-02
 -0.468745450261211661E-02 3.23232323316161629 0.751879797744360936E-02
 -0.410471206931776068E-02 3.43434343517171703 0.751879797744360936E-02
 -0.351427019603977198E-02 3.63636363718181821 0.751879797744360936E-02
 -0.296022837997728409E-02 3.83838383919191939 0.751879797744360936E-02
 -0.246412819454618157E-02 4.04040404120202012 0.751879797744360936E-02
 -0.203359561631064967E-02 4.24242424321212130 0.751879797744360936E-02
 -0.166811326481457948E-02 4.44444444522222248 0.751879797744360936E-02
 -0.136277921178247128E-02 4.64646464723232366 0.751879797744360936E-02
 -0.111067811056497247E-02 4.84848484924242396 0.751879797744360936E-02
 -0.904315348375399537E-03 5.05050505125252513 0.751879797744360936E-02
 -0.736433420530090773E-03 5.25252525326262631 0.751879797744360936E-02
 -0.600432362613331641E-03 5.45454545527272749 0.751879797744360936E-02
 -0.490545248616848029E-03 5.65656565728282867 0.751879797744360936E-02
 -0.401869222720941689E-03 5.85858585929292897 0.751879797744360936E-02
 -0.330317192541602781E-03 6.06060606130303015 0.751879797744360936E-02
 -0.272531117462039834E-03 6.26262626331313133 0.751879797744360936E-02
 -0.225781627080334638E-03 6.46464646532323250 0.751879797744360936E-02
 -0.187868119009559909E-03 6.66666666733333368 0.751879797744360936E-02
 -0.157026755630146776E-03 6.86868686934343486 0.751879797744360936E-02
 -0.131849642058391389E-03 7.07070707135353516 0.751879797744360936E-02
 -0.111216033809728062E-03 7.27272727336363634 0.751879797744360936E-02
 -0.942350808516126718E-04 7.47474747537373752 0.751879797744360936E-02
 -0.801989529280933475E-04 7.67676767738383869 0.751879797744360936E-02
 -0.685449374225561512E-04 7.87878787939393987 0.751879797744360936E-02
 -0.588250803292921683E-04 8.08080808140404017 0.751879797744360936E-02
 -0.506820429173396992E-04 8.28282828341414223 0.751879797744360936E-02
 -0.438300041983060760E-04 8.48484848542424253 0.751879797744360936E-02
 -0.380396130323270359E-04 8.68686868743434282 0.751879797744360936E-02
 -0.331261619632934723E-04 8.88888888944444489 0.751879797744360936E-02
 -0.289403069074066820E-04 9.09090909145454518 0.751879797744360936E-02
